"ID","Description","Published","Solved By","Solve Status"
1,"Multiples of 3 or 5",1002301200,994767,1
2,"Even Fibonacci Numbers",1003510800,793361,1
3,"Largest Prime Factor",1004724000,571429,1
4,"Largest Palindrome Product",1005933600,505594,1
5,"Smallest Multiple",1007143200,508489,1
6,"Sum Square Difference",1008352800,511778,1
7,"10001st Prime",1009562400,438054,1
8,"Largest Product in a Series",1010772000,367372,1
9,"Special Pythagorean Triplet",1011981600,372417,1
10,"Summation of Primes",1013191200,341713,1
11,"Largest Product in a Grid",1014400800,245684,1
12,"Highly Divisible Triangular Number",1015610400,232214,1
13,"Large Sum",1016820000,237513,1
14,"Longest Collatz Sequence",1018026000,237924,1
15,"Lattice Paths",1019235600,196653,1
16,"Power Digit Sum",1020445200,240163,1
17,"Number Letter Counts",1021654800,159820,1
18,"Maximum Path Sum I",1022864400,153051,1
19,"Counting Sundays",1024074000,142124,1
20,"Factorial Digit Sum",1024678800,207933,1
21,"Amicable Numbers",1025888400,154318,1
22,"Names Scores",1027098000,141912,1
23,"Non-Abundant Sums",1028307600,110631,1
24,"Lexicographic Permutations",1029517200,121363,1
25,"$1000$-digit Fibonacci Number",1030726800,163651,1
26,"Reciprocal Cycles",1031936400,89472,1
27,"Quadratic Primes",1033146000,92909,1
28,"Number Spiral Diagonals",1034355600,114027,1
29,"Distinct Powers",1035565200,111741,1
30,"Digit Fifth Powers",1036778400,116264,1
31,"Coin Sums",1037988000,90577,1
32,"Pandigital Products",1039197600,75981,1
33,"Digit Cancelling Fractions",1040407200,76299,1
34,"Digit Factorials",1041616800,99789,1
35,"Circular Primes",1042826400,89860,1
36,"Double-base Palindromes",1044036000,94020,1
37,"Truncatable Primes",1045245600,78224,1
38,"Pandigital Multiples",1046455200,67182,1
39,"Integer Right Triangles",1047664800,77780,1
40,"Champernowne's Constant",1048874400,84911,1
41,"Pandigital Prime",1050080400,72566,1
42,"Coded Triangle Numbers",1051290000,78908,1
43,"Sub-string Divisibility",1052499600,63914,1
44,"Pentagon Numbers",1053709200,62546,1
45,"Triangular, Pentagonal, and Hexagonal",1054918800,75260,1
46,"Goldbach's Other Conjecture",1056128400,65743,1
47,"Distinct Primes Factors",1057338000,61941,1
48,"Self Powers",1058547600,118050,1
49,"Prime Permutations",1059757200,61805,1
50,"Consecutive Prime Sum",1060966800,66623,1
51,"Prime Digit Replacements",1062176400,36750,0
52,"Permuted Multiples",1063386000,69252,1
53,"Combinatoric Selections",1064595600,62593,1
54,"Poker Hands",1065805200,38781,0
55,"Lychrel Numbers",1067014800,57249,1
56,"Powerful Digit Sum",1068228000,61846,1
57,"Square Root Convergents",1069437600,44608,1
58,"Spiral Primes",1070647200,43037,1
59,"XOR Decryption",1071856800,43998,0
60,"Prime Pair Sets",1073066400,29060,0
61,"Cyclical Figurate Numbers",1074276000,27595,0
62,"Cubic Permutations",1075485600,33984,0
63,"Powerful Digit Counts",1076695200,46091,0
64,"Odd Period Square Roots",1077904800,23973,0
65,"Convergents of $e$",1079114400,32149,0
66,"Diophantine Equation",1080324000,21380,0
67,"Maximum Path Sum II",1081530000,100857,0
68,"Magic 5-gon Ring",1082739600,22474,0
69,"Totient Maximum",1083949200,37428,0
70,"Totient Permutation",1085158800,24145,0
71,"Ordered Fractions",1086368400,31438,0
72,"Counting Fractions",1087578000,24180,0
73,"Counting Fractions in a Range",1088787600,26900,0
74,"Digit Factorial Chains",1089997200,28739,0
75,"Singular Integer Right Triangles",1091206800,19559,0
76,"Counting Summations",1092416400,30643,0
77,"Prime Summations",1093626000,20806,0
78,"Coin Partitions",1094835600,18412,1
79,"Passcode Derivation",1095440400,43370,0
80,"Square Root Digital Expansion",1097254800,21434,0
81,"Path Sum: Two Ways",1098464400,36640,0
82,"Path Sum: Three Ways",1099677600,22714,0
83,"Path Sum: Four Ways",1100887200,19641,0
84,"Monopoly Odds",1102096800,13751,0
85,"Counting Rectangles",1103306400,26518,0
86,"Cuboid Route",1105120800,13810,0
87,"Prime Power Triples",1106330400,22477,0
88,"Product-sum Numbers",1107540000,11057,0
89,"Roman Numerals",1108749600,22636,0
90,"Cube Digit Pairs",1109959200,12318,0
91,"Right Triangles with Integer Coordinates",1111168800,16709,0
92,"Square Digit Chains",1112374800,44145,1
93,"Arithmetic Expressions",1113584400,12861,0
94,"Almost Equilateral Triangles",1114794000,13525,0
95,"Amicable Chains",1116003600,15564,0
96,"Su Doku",1117213200,18513,0
97,"Large Non-Mersenne Prime",1118422800,45689,0
98,"Anagramic Squares",1119027600,12396,0
99,"Largest Exponential",1120237200,32642,0
100,"Arranged Probability",1121446800,17673,0
101,"Optimum Polynomial",1122656400,12524,0
102,"Triangle Containment",1123866000,23464,0
103,"Special Subset Sums: Optimum",1125075600,8771,0
104,"Pandigital Fibonacci Ends",1126285200,17336,0
105,"Special Subset Sums: Testing",1127494800,8743,0
106,"Special Subset Sums: Meta-testing",1128704400,6980,1
107,"Minimal Network",1129914000,11828,0
108,"Diophantine Reciprocals I",1131127200,13587,0
109,"Darts",1132336800,8816,0
110,"Diophantine Reciprocals II",1133546400,8739,0
111,"Primes with Runs",1134756000,7855,0
112,"Bouncy Numbers",1135965600,26200,0
113,"Non-bouncy Numbers",1139594400,11879,0
114,"Counting Block Combinations I",1140199200,11645,0
115,"Counting Block Combinations II",1140804000,10636,0
116,"Red, Green or Blue Tiles",1141408800,12964,0
117,"Red, Green, and Blue Tiles",1142013600,11937,0
118,"Pandigital Prime Sets",1143223200,7560,0
119,"Digit Power Sum",1144429200,13216,0
120,"Square Remainders",1145638800,14733,0
121,"Disc Game Prize Fund",1148058000,10427,0
122,"Efficient Exponentiation",1149267600,8443,0
123,"Prime Square Remainders",1150477200,12322,0
124,"Ordered Radicals",1152896400,14580,0
125,"Palindromic Sums",1154710800,14471,0
126,"Cuboid Layers",1155920400,5148,0
127,"abc-hits",1157130000,6755,0
128,"Hexagonal Tile Differences",1159549200,5417,0
129,"Repunit Divisibility",1161968400,6772,0
130,"Composites with Prime Repunit Property",1161968400,6366,0
131,"Prime Cube Partnership",1163181600,7927,0
132,"Large Repunit Factors",1164996000,6817,0
133,"Repunit Nonfactors",1164996000,5955,0
134,"Prime Pair Connection",1166205600,7537,0
135,"Same Differences",1167415200,6895,0
136,"Singleton Difference",1167415200,6139,0
137,"Fibonacci Golden Nuggets",1168624800,5964,0
138,"Special Isosceles Triangles",1169290800,6286,0
139,"Pythagorean Tiles",1169888400,6101,0
140,"Modified Fibonacci Golden Nuggets",1170486000,4702,0
141,"Square Progressive Numbers",1171688400,4277,0
142,"Perfect Square Collection",1172278800,6245,0
143,"Torricelli Triangles",1172869200,2988,0
144,"Laser Beam Reflections ",1173459600,6751,0
145,"Reversible Numbers",1174050000,17679,0
146,"Investigating a Prime Pattern ",1174726800,5461,0
147,"Rectangles in Cross-hatched Grids",1175317200,3288,0
148,"Exploring Pascal's Triangle",1175907600,5540,0
149,"Maximum-sum Subsequence",1176498000,5210,0
150,"Sub-triangle Sums",1176498000,4264,0
151,"A Preference for A5",1177088400,5948,0
152,"Sums of Square Reciprocals",1177678800,2920,0
153,"Investigating Gaussian Integers",1178355600,2839,0
154,"Exploring Pascal's Pyramid",1178946000,2852,0
155,"Counting Capacitor Circuits",1179536400,3872,0
156,"Counting Digits",1180126800,2643,0
157,"Base-10 Diophantine Reciprocal",1180717200,2937,0
158,"Lexicographical Neighbours",1181912400,3916,0
159,"Digital Root Sums of Factorisations",1183208400,3531,0
160,"Factorial Trailing Digits",1189170000,3778,0
161,"Triominoes",1190394000,2309,0
162,"Hexadecimal Numbers",1191618000,5719,0
163,"Cross-hatched Triangles",1192237200,1976,0
164,"Three Consecutive Digital Sum Limit",1192856400,6126,0
165,"Intersections",1193475600,2815,0
166,"Criss Cross",1194094800,4402,0
167,"Investigating Ulam Sequences",1194613200,1846,0
168,"Number Rotations",1195232400,2873,0
169,"Sums of Powers of Two",1195851600,5458,0
170,"Pandigital Concatenating Products",1196470800,2152,0
171,"Square Sum of the Digital Squares",1197090000,3006,0
172,"Few Repeated Digits",1197709200,4074,0
173,"Hollow Square Laminae I",1198328400,9623,0
174,"Hollow Square Laminae II",1198328400,6261,0
175,"Fractions and Sum of Powers of Two",1198846800,1934,0
